Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00409F1B  push topprobe.6B112C                                              L"Save Project"
0040A0D7  push topprobe.6B1104                                              L"Could not save %s."
0040A10F  push topprobe.6AD848                                              L"TopJTAG Probe"
0040A1D8  push topprobe.6AD864                                              "vector<T> too long"
0040A235  push topprobe.6AD864                                              "vector<T> too long"
0040A271  push topprobe.6AF040                                              "invalid string position"
0040A629  push topprobe.6D2E70                                              L"frame"
0040A7B0  push topprobe.6B1200                                              L"/topprobe"
0040A80E  push topprobe.6B11E0                                              L"appicon"
0040A8B1  push topprobe.6D2F74                                              L"status_line"
0040A93E  push topprobe.6AF748                                              L"IN of inout"
0040A95F  push topprobe.6AF760                                              L"OUT of inout"
0040A9A2  push topprobe.6AF0CC                                              L"Maximized"
0040AA0E  push topprobe.6B11C8                                              L"jtag_chain"
0040AAF7  push topprobe.6B0E70                                              L"Pins"
0040AB10  push topprobe.6B0F1C                                              L"signals"
0040AC18  push topprobe.6B0E34                                              L"Watch"
0040AC32  push topprobe.6B0F2C                                              L"watch"
0040AD42  push topprobe.6B0DEC                                              L"Waveform"
0040AD5C  push topprobe.6AF734                                              L"waveform"
0040AE5C  push topprobe.6D2F8C                                              L"text"
0040AF75  push topprobe.6B11B0                                              L"Courier New"
0040AFEB  push topprobe.6B11A8                                              L"Log"
0040B001  push topprobe.6AF72C                                              L"log"
0040B2DC  push topprobe.6AF734                                              L"waveform"
0040B3D6  push topprobe.6B0F2C                                              L"watch"
0040B48F  push topprobe.6AD848                                              L"TopJTAG Probe"
0040B4A5  push topprobe.6B1218                                              L"Do you want to save current project file?"
0040B5EE  push topprobe.6B1104                                              L"Could not save %s."
0040B603  push topprobe.6AD848                                              L"TopJTAG Probe"
0040B732  push topprobe.6B1104                                              L"Could not save %s."
0040B750  push topprobe.6AD848                                              L"TopJTAG Probe"
0040B845  push topprobe.6B126C                                              "invalid map/set<T> iterator"
0040BC52  push topprobe.6AF058                                              "string too long"
0040C024  push topprobe.6B13C0                                              L"About"
0040C0A3  push topprobe.6B1398                                              L"About TopJTAG Probe"
0040C125  push topprobe.6B1348                                              L"Registered; license key first 4 chars: "
0040C1B9  mov eax,topprobe.6B13C0                                           L"About"
0040C1C3  push topprobe.6B1324                                              L"UNREGISTERED."
