Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
003BE4C3  mov dword ptr ss:[esp+50],hddled.41BD70                           L"Summary"
003BE4E7  mov dword ptr ss:[esp+50],hddled.41BD80                           L"User process I/O"
003BE603  push hddled.41C5B8                                                L"UxTheme.dll"
003BE61A  push hddled.41C5D0                                                "IsAppThemed"
003BE62C  push hddled.41C5DC                                                "EnableThemeDialogTexture"
003BE8E2  push hddled.41B460                                                L"#purchase"
003BE8F0  mov edx,hddled.41B478                                             L"http://www.hddled.com/?src=hddled121"
003BE921  push hddled.41B4C4                                                L"open"
003BE951  push hddled.41B478                                                L"http://www.hddled.com/?src=hddled121"
003BE956  push hddled.41B4C4                                                L"open"
003BEB72  push hddled.41B39C                                                L"Software\\HddLed"
003BEBA0  push hddled.41B3BC                                                L"name"
003BEBD6  push hddled.41B3C8                                                L"key"
003BEC29  push hddled.41BDA4                                                L"Registered to : "
003BEC55  push hddled.41BDC8                                                L"Thank you for registering HddLed Indicator!"
003BEC9F  push hddled.41BE20                                                L"Unregistered version."
003BECAC  push hddled.41BE50                                                L"HddLed Indicator version 1.21 May 21 2017 12:52:12 "
003BEE37  push hddled.41C564                                                L"%0.10u "
003BEEE9  push hddled.41C564                                                L"%0.10u "
003BEFB6  push hddled.41B070                                                L"%s"
003BF04D  push hddled.41BEB8                                                L"HarddiskVolume"
003BF0D0  mov edx,hddled.41BED8                                             L"hd"
003BF192  push hddled.41B1B8                                                L"_Total"
003BF1F2  push hddled.41BEE0                                                L"\\\\.\\"
003BF26D  push hddled.41B030                                                L" - "
003BF3F6  push hddled.41AFE0                                                "invalid vector<T> subscript"
003BF4E0  push hddled.41BEEC                                                L"\\\\.\\PHYSICALDRIVE%u"
003BF5D9  push hddled.41BF14                                                L"Physical Drive %u"
003BF66C  mov dword ptr ss:[ebp+eax-D0],hddled.41C00C                       "Y2<"
003BF88F  push hddled.41B1B8                                                L"_Total"
003BF8A2  push hddled.41BF38                                                L"All-In-One"
003BF8B4  push hddled.41BF50                                                L"All"
003BFA20  push hddled.41BD60                                                L"General"
003BFA54  push hddled.41BF58                                                L"Class"
003BFABC  push hddled.41BF58                                                L"Class"
003BFB17  push hddled.41BF64                                                L"1.21"
003BFB2D  push hddled.41BF70                                                L"version"
003BFD8D  mov dword ptr ss:[esp+34],hddled.41BCDC                           L"HddLedWorker"
003C0089  push hddled.41B39C                                                L"Software\\HddLed"
003C00B7  push hddled.41B3BC                                                L"name"
003C00E9  push hddled.41B3C8                                                L"key"
003C034C  push hddled.41B39C                                                L"Software\\HddLed"
003C0391  push hddled.41B3BC                                                L"name"
003C040E  push hddled.41B3C8                                                L"key"
003C06C4  push hddled.41B39C                                                L"Software\\HddLed"
003C0709  push hddled.41B3BC                                                L"name"
003C077F  push hddled.41B3C8                                                L"key"
003C0959  push hddled.41B39C                                                L"Software\\HddLed"
003C0987  push hddled.41B3BC                                                L"name"
003C09B9  push hddled.41B3C8                                                L"key"
003C0E25  mov dword ptr ds:[eax+edi-68],hddled.41C00C                       "Y2<"
003C0E84  mov dword ptr ds:[eax+edi-68],hddled.41BFD4                       "a2<"
003C0EBA  mov dword ptr ds:[eax+edi-68],hddled.41BFC4                       "i2<"
003C0EE6  mov dword ptr ds:[eax+ecx-20],hddled.41BFD4                       "a2<"
003C0F1F  mov dword ptr ds:[eax+edx-18],hddled.41BFC4                       "i2<"
003C10D6  mov dword ptr ds:[eax+ecx-18],hddled.41BFC4                       "i2<"
003C11B4  mov dword ptr ds:[eax+edx-18],hddled.41BFC4                       "i2<"
