Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0042793E  imul edi,dword ptr ds:[edx+65],aoao watermark.42755C              "`uB"
00429028  mov edx,dword ptr ds:[4277E8]                                     "4xB"
00429234  mov edx,aoao watermark.429308                                     "Default"
00429245  mov edx,aoao watermark.6C357F                                     "\rMS Sans Serif"
00429AB7  mov eax,dword ptr ds:[4277E8]                                     "4xB"
0042A473  mov ecx,dword ptr ds:[6DF37C]                                     "8pB"
0042A63B  mov eax,dword ptr ds:[4273D8]                                     "$tB"
0042A686  mov eax,dword ptr ds:[6DF1C8]                                     "0pB"
0042B9EE  mov edx,aoao watermark.42BA08                                     "Data"
0042BD4D  mov eax,dword ptr ds:[6DF4E8]                                     "pqB"
0042BD5A  mov edx,aoao watermark.42BE1C                                     "wmf"
0042BD71  mov eax,dword ptr ds:[6DF1F0]                                     "xqB"
0042BD7E  mov edx,aoao watermark.42BE28                                     "emf"
0042BDA2  mov edx,aoao watermark.42BE34                                     "ico"
0042BDC6  mov edx,aoao watermark.42BE40                                     "bmp"
0042C183  mov edx,aoao watermark.42C254                                     "%s%s (*.%s)|*.%2:s"
0042C1AB  mov edx,aoao watermark.42C270                                     "%s*.%s"
0042C1FB  mov edx,aoao watermark.42C280                                     "%s (%s)|%1:s|%s"
0042C70B  mov edx,aoao watermark.42C828                                     "ycl"
0042C71A  mov edx,aoao watermark.42C834                                     "tga"
0042C748  mov eax,dword ptr ds:[6DF8CC]                                     " pB"
0042C757  mov eax,dword ptr ds:[4273D8]                                     "$tB"
0042C85A  mov eax,dword ptr ds:[6DF5E8]                                     "(pB"
0042CC9C  mov edx,aoao watermark.42CCB8                                     "Data"
0042D3B1  mov edx,aoao watermark.42D41C                                     ".wmf"
0042D8F4  mov eax,dword ptr ds:[6DF5E8]                                     "(pB"
0042F23E  mov eax,dword ptr ds:[6DF5E8]                                     "(pB"
0043092E  mov edi,aoao watermark.6C357F                                     "\rMS Sans Serif"
00431599  push aoao watermark.4315C8                                        "comctl32.dll"
004315B1  push aoao watermark.4315D8                                        "InitCommonControlsEx"
00431F19  mov ecx,aoao watermark.431FA8                                     "GetMonitorInfoA"
00431FC8  mov ecx,aoao watermark.43202C                                     "GetSystemMetrics"
00432055  mov ecx,aoao watermark.4320C0                                     "MonitorFromRect"
004320E7  mov ecx,aoao watermark.432154                                     "MonitorFromWindow"
0043217A  mov ecx,aoao watermark.4321EC                                     "MonitorFromPoint"
00432218  mov ecx,aoao watermark.4322BC                                     "GetMonitorInfo"
00432299  push aoao watermark.4322CC                                        "DISPLAY"
004322EC  mov ecx,aoao watermark.432390                                     "GetMonitorInfoA"
0043236D  push aoao watermark.4323A0                                        "DISPLAY"
004323C0  mov ecx,aoao watermark.432464                                     "GetMonitorInfoW"
00432441  push aoao watermark.432474                                        "DISPLAY"
00432494  mov ecx,aoao watermark.432598                                     "EnumDisplayMonitors"
00432A89  mov eax,dword ptr ds:[4329C0]                                     "\f*C"
00432AF1  mov eax,dword ptr ds:[4329C0]                                     "\f*C"
00432EDD  mov eax,dword ptr ds:[4327EC]                                     "8(C"
00432FDC  mov edx,dword ptr ds:[432774]                                     "x'C"
004330B6  mov eax,dword ptr ds:[4327EC]                                     "8(C"
00433278  mov eax,dword ptr ds:[4327EC]                                     "8(C"
00433306  mov edx,dword ptr ds:[432738]                                     "<'C"
0043338A  mov eax,dword ptr ds:[4327EC]                                     "8(C"
0043340A  mov edx,dword ptr ds:[432738]                                     "<'C"
004337F7  mov eax,dword ptr ds:[4336E0]                                     ",7C"
00433D48  mov eax,dword ptr ds:[433808]                                     "T8C"
00433FC3  mov eax,dword ptr ds:[433808]                                     "T8C"
00434011  mov eax,dword ptr ds:[433808]                                     "T8C"
00434170  mov eax,dword ptr ds:[6DF288]                                     " sB"
004341E1  push aoao watermark.4342F0                                        "device"
004341E6  push aoao watermark.4342F8                                        "windows"
004342AA  mov eax,dword ptr ds:[6DF288]                                     " sB"
00434426  push aoao watermark.434588                                        "comctl32.dll"
0043443A  push aoao watermark.434598                                        "InitializeFlatSB"
0043444A  push aoao watermark.4345AC                                        "UninitializeFlatSB"
0043445A  push aoao watermark.4345C0                                        "FlatSB_GetScrollProp"
0043446A  push aoao watermark.4345D8                                        "FlatSB_SetScrollProp"
0043447A  push aoao watermark.4345F0                                        "FlatSB_EnableScrollBar"
0043449B  push aoao watermark.434608                                        "FlatSB_ShowScrollBar"
004344BC  push aoao watermark.434620                                        "FlatSB_GetScrollRange"
004344DD  push aoao watermark.434638                                        "FlatSB_GetScrollInfo"
004344FE  push aoao watermark.434650                                        "FlatSB_GetScrollPos"
0043451F  push aoao watermark.434664                                        "FlatSB_SetScrollPos"
00434540  push aoao watermark.434678                                        "FlatSB_SetScrollInfo"
00434561  push aoao watermark.434690                                        "FlatSB_SetScrollRange"
00434A7D  push aoao watermark.434E10                                        "uxtheme.dll"
00434A92  push aoao watermark.434E1C                                        "OpenThemeData"
00434AA4  push aoao watermark.434E2C                                        "CloseThemeData"
00434AB6  push aoao watermark.434E3C                                        "DrawThemeBackground"
00434AC8  push aoao watermark.434E50                                        "DrawThemeText"
00434ADA  push aoao watermark.434E60                                        "GetThemeBackgroundContentRect"
00434AEC  push aoao watermark.434E60                                        "GetThemeBackgroundContentRect"
00434AFE  push aoao watermark.434E80                                        "GetThemePartSize"
00434B10  push aoao watermark.434E94                                        "GetThemeTextExtent"
00434B22  push aoao watermark.434EA8                                        "GetThemeTextMetrics"
00434B34  push aoao watermark.434EBC                                        "GetThemeBackgroundRegion"
00434B46  push aoao watermark.434ED8                                        "HitTestThemeBackground"
00434B58  push aoao watermark.434EF0                                        "DrawThemeEdge"
00434B6A  push aoao watermark.434F00                                        "DrawThemeIcon"
00434B7C  push aoao watermark.434F10                                        "IsThemePartDefined"
00434B8E  push aoao watermark.434F24                                        "IsThemeBackgroundPartiallyTransparent"
00434BA0  push aoao watermark.434F4C                                        "GetThemeColor"
00434BB2  push aoao watermark.434F5C                                        "GetThemeMetric"
00434BC4  push aoao watermark.434F6C                                        "GetThemeString"
00434BD6  push aoao watermark.434F7C                                        "GetThemeBool"
00434BE8  push aoao watermark.434F8C                                        "GetThemeInt"
00434BFA  push aoao watermark.434F98                                        "GetThemeEnumValue"
00434C0C  push aoao watermark.434FAC                                        "GetThemePosition"
00434C1E  push aoao watermark.434FC0                                        "GetThemeFont"
00434C30  push aoao watermark.434FD0                                        "GetThemeRect"
00434C42  push aoao watermark.434FE0                                        "GetThemeMargins"
00434C54  push aoao watermark.434FF0                                        "GetThemeIntList"
00434C66  push aoao watermark.435000                                        "GetThemePropertyOrigin"
00434C78  push aoao watermark.435018                                        "SetWindowTheme"
00434C8A  push aoao watermark.435028                                        "GetThemeFilename"
00434C9C  push aoao watermark.43503C                                        "GetThemeSysColor"
00434CAE  push aoao watermark.435050                                        "GetThemeSysColorBrush"
00434CC0  push aoao watermark.435068                                        "GetThemeSysBool"
00434CD2  push aoao watermark.435078                                        "GetThemeSysSize"
00434CE4  push aoao watermark.435088                                        "GetThemeSysFont"
00434CF6  push aoao watermark.435098                                        "GetThemeSysString"
00434D08  push aoao watermark.4350AC                                        "GetThemeSysInt"
00434D1A  push aoao watermark.4350BC                                        "IsThemeActive"
00434D2C  push aoao watermark.4350CC                                        "IsAppThemed"
00434D3E  push aoao watermark.4350D8                                        "GetWindowTheme"
00434D50  push aoao watermark.4350E8                                        "EnableThemeDialogTexture"
00434D62  push aoao watermark.435104                                        "IsThemeDialogTextureEnabled"
00434D74  push aoao watermark.435120                                        "GetThemeAppProperties"
00434D86  push aoao watermark.435138                                        "SetThemeAppProperties"
00434D98  push aoao watermark.435150                                        "GetCurrentThemeName"
00434DAA  push aoao watermark.435164                                        "GetThemeDocumentationProperty"
00434DBC  push aoao watermark.435184                                        "DrawThemeParentBackground"
00434DCE  push aoao watermark.4351A0                                        "EnableTheming"
00435896  imul ebp,dword ptr ds:[edi+6E],aoao watermark.1784573             "@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77@77VNN@77@77@77@77@77@77@77@77@77@77@77@77"
004368B7  mov edx,aoao watermark.4368D0                                     "FileEditStyle"
00436A8A  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
00436B48  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
00436D6F  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
00436E54  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
00436FFC  mov eax,aoao watermark.43707C                                     "%.6x"
0043701D  mov edx,aoao watermark.43708C                                     "Color"
004370C8  mov edx,aoao watermark.437148                                     "Color"
00437285  mov eax,dword ptr ds:[4277E8]                                     "4xB"
00437A9F  mov ecx,aoao watermark.437C1C                                     "\r\n"
00437B52  mov eax,aoao watermark.437C1C                                     "\r\n"
00437B80  mov eax,aoao watermark.437C1C                                     "\r\n"
00437BA0  mov eax,aoao watermark.437C1C                                     "\r\n"
00437BBE  mov eax,aoao watermark.437C38                                     "%s%s%s%s%s%s%s%s%s%s"
0043802D  mov edx,aoao watermark.438280                                     "Image"
00438091  mov edx,aoao watermark.438290                                     "Message"
00438160  mov dword ptr ss:[ebp-4C],aoao watermark.6C3994                   "X|C"
004383B7  push aoao watermark.438418                                        "commdlg_help"
004383C6  push aoao watermark.438428                                        "commdlg_FindReplace"
004383F7  mov edx,aoao watermark.43843C                                     "WndProcPtr%.8X%.8X"
00438537  mov eax,aoao watermark.6C3994                                     "X|C"
004399F2  imul esp,dword ptr ss:[esp+esi*2+68],aoao watermark.486C50        "TlH"
00439BA0  imul ebp,dword ptr ds:[esi+74],aoao watermark.427860              "dxB"
0043AC55  add byte ptr ds:[ecx+eax+184FF00],al                              "ZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZY"
0043BF59  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
0043BFAE  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
0043C550  mov edx,aoao watermark.43C598                                     "SubLabel"
0043D3D5  push aoao watermark.43D400                                        "Delphi Picture"
0043D3E5  push aoao watermark.43D410                                        "Delphi Component"
00440144  mov eax,dword ptr ds:[427B28]                                     "t{B"
004410C0  mov edx,aoao watermark.441340                                     "PicturePanel"
00441129  mov edx,aoao watermark.441358                                     "PictureLabel"
0044118E  mov edx,aoao watermark.441370                                     "PreviewButton"
004411C2  mov ecx,aoao watermark.441388                                     "PREVIEWGLYPH"
004411D8  mov eax,dword ptr ds:[6DF114]                                     "@sB"
00441228  mov edx,aoao watermark.4413A0                                     "PaintPanel"
004412A6  mov edx,aoao watermark.4413B4                                     "PaintBox"
00441487  mov eax,dword ptr ds:[6DF0F4]                                     "8sB"
00441527  mov eax,dword ptr ds:[6DF620]                                     "0sB"
004416B8  mov edx,dword ptr ds:[6DF42C]                                     "\\\vn"
004416C9  mov edx,aoao watermark.4416E0                                     "DLGTEMPLATE"
00441729  mov edx,aoao watermark.44196C                                     "PreviewForm"
00441743  mov eax,dword ptr ds:[6DF114]                                     "@sB"
0044179A  mov edx,aoao watermark.441980                                     "Panel"
00441804  mov edx,aoao watermark.441990                                     "Image"
004419AB  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
004419BB  mov eax,aoao watermark.4419E0                                     "DLGTEMPLATE"
00442555  mov ebx,dword ptr ds:[ebx*4+6C3C44]                               "<%D"
00443A8D  mov eax,aoao watermark.6C3C44                                     "<%D"
004458D0  mov eax,dword ptr ds:[44490C]                                     "XID"
00445BC2  mov edx,dword ptr ds:[4445C0]                                     "\fFD"
00445BE6  mov edx,dword ptr ds:[4445C0]                                     "\fFD"
0044B3B9  mov eax,aoao watermark.44B3D8                                     "comctl32.dll"
0044BC26  mov ecx,aoao watermark.44BD00                                     "SysTabControl32"
0044C9E9  mov edx,dword ptr ds:[446610]                                     "\\fD"
0044EC8E  mov edx,dword ptr ds:[447000]                                     "LpD"
0044F5EF  mov edx,aoao watermark.44F60C                                     "Data"
0044FAAD  mov ecx,aoao watermark.44FBA8                                     "SysTreeView32"
0044FB7F  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
00451558  mov eax,dword ptr ds:[447000]                                     "LpD"
00452244  mov eax,dword ptr ds:[6DF6E8]                                     "hsB"
004527E5  mov ecx,aoao watermark.45286C                                     "msctls_trackbar32"
0045315D  mov ecx,aoao watermark.453188                                     "msctls_progress32"
0045366B  mov ecx,aoao watermark.453688                                     "msctls_updown32"
00453AF9  mov edx,aoao watermark.453BA8                                     "TDBEdit"
00453B0E  mov edx,aoao watermark.453BB8                                     "TDBMemo"
004540F2  mov edx,aoao watermark.45410C                                     "WidthType"
004547BC  mov edx,dword ptr ds:[45475C]                                     "`GE"
0045482E  mov edx,dword ptr ds:[45475C]                                     "`GE"
00455733  mov edx,aoao watermark.455750                                     "Data"
0045606D  mov ecx,aoao watermark.456170                                     "SysListView32"
00456145  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
00456F39  mov edx,aoao watermark.456FBC                                     "SysHeader32"
004580DE  mov eax,dword ptr ds:[6DF830]                                     "X\vn"
0045C28B  push aoao watermark.45C2EC                                        "ole32.dll"
0045C29B  push aoao watermark.45C2F8                                        "CoInitializeEx"
0045C3E9  mov ecx,aoao watermark.45C438                                     "ComboBoxEx32"
0045C3FF  or eax,200000                                                     ",\v"
0045C51A  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
0045C58A  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
0045C5C0  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
0045C7CF  mov eax,dword ptr ds:[6DF42C]                                     "\\\vn"
0045D562  imul eax,dword ptr ds:[eax],aoao watermark.770065                 "dResource"
0045D66E  imul eax,dword ptr ds:[eax],aoao watermark.770065                 "dResource"
0045D954  mov eax,dword ptr ds:[6DF58C]                                     "<\nn"
0045E172  test eax,200000                                                   ",\v"
0045F97A  add byte ptr ds:[ecx+eax+184FF00],al                              "ZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZY"
0046042F  add byte ptr ds:[ecx+eax+184FF00],al                              "ZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZY"
00461418  add byte ptr ds:[ecx+eax+184FF00],al                              "ZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZYbZY"
