Found strings are
Address    Disassembly                               Text string
00408246   PUSH 0049BEB4                             ASCII "community"
0040826E   PUSH 0049BEA8                             ASCII "List Mode"
00408296   PUSH 0049C7B8                             ASCII "stop sign"
004082BE   PUSH 0049BE94                             ASCII "selected word first"
004082E6   PUSH 0049BE84                             ASCII "allow 3 strikes"
0040830E   PUSH 0049BE74                             ASCII "items in list"
00408336   PUSH 0049BE6C                             ASCII "Misc"
0040835E   PUSH 0049BE60                             ASCII "all caps"
00408386   PUSH 0049BE54                             ASCII "quit sign"
004083AE   PUSH 0049BFCC                             ASCII "Sound"
004083D6   PUSH 0049BE4C                             ASCII "speech"
004083FE   PUSH 0049C354                             ASCII "music"
00408426   PUSH 0049BE44                             ASCII "effects"
0040844E   PUSH 0049BE38                             ASCII "User Names"
00408476   PUSH 0049BE2C                             ASCII "Word List"
0040849E   PUSH 0049BE24                             ASCII "User"
004084C6   PUSH 0049BE14                             ASCII "User options"
004084EE   PUSH 0049BE08                             ASCII "Result Log"
00408516   PUSH 0049BDFC                             ASCII "User log"
0040853E   PUSH 0049BDEC                             ASCII "Select a page "
00408566   PUSH 0049BDD8                             ASCII "for print option..."
0040858E   PUSH 0049BDCC                             ASCII "Saved Lists"
004085B6   PUSH 0049BDC0                             ASCII "1 second"
004085DE   PUSH 0049BDB4                             ASCII "2 second"
00408606   PUSH 0049BDA8                             ASCII "4 second"
0040862E   PUSH 0049BD9C                             ASCII "Settings"
00408656   PUSH 0049BD94                             ASCII "Home"
0040867E   PUSH 0049BD8C                             ASCII "School"
004086A6   PUSH 0049BD80                             ASCII "Community"
004086CE   PUSH 0049BFD4                             ASCII "Exit"
004086F6   PUSH 0049BD78                             ASCII "Quit"
0040871E   PUSH 0049BD70                             ASCII "Browse"
00408746   PUSH 0049BD68                             ASCII "List"
0040876E   PUSH 0049BD5C                             ASCII "Print Page"
00408796   PUSH 0049BD58                             ASCII "add"
004087BE   PUSH 0049BD50                             ASCII "delete"
004087E6   PUSH 0049BD48                             ASCII "Default"
0040880E   PUSH 0049BD40                             ASCII "Select"
00408836   PUSH 0049BD38                             ASCII "Print"
0040885E   PUSH 0049BD30                             ASCII "Stop"
00408886   PUSH 0049BD28                             ASCII "save"
004088AE   PUSH 0049BD20                             ASCII "load"
004088D6   PUSH 0049BD10                             ASCII "Are you sure?"
00408EFE   MOV EDI,0049D8CC                          ASCII "autoambulanza"
00408F28   MOV ESI,0049D8CC                          ASCII "autoambulanza"
00408F6E   MOV EDI,0049D8C0                          ASCII "abitazione"
00408F98   MOV ESI,0049D8C0                          ASCII "abitazione"
00408FDE   MOV EDI,0049D8B8                          ASCII "banca"
00409008   MOV ESI,0049D8B8                          ASCII "banca"
0040904E   MOV EDI,0049D8AC                          ASCII "barbiere"
00409078   MOV ESI,0049D8AC                          ASCII "barbiere"
004090BE   MOV EDI,0049D8A4                          ASCII "bancone"
